id,textbook,summary
1,禅诗,禅诗总字数为：16070；不重复字数为：1824
2,论语,论语总字数为：16012；不重复字数为：1337
3,寒山,寒山总字数为：15737；不重复字数为：2284
4,鹿鼎记,鹿鼎记总字数为：1024214；不重复字数为：4158
5,笑傲江湖,笑傲江湖总字数为：834696；不重复字数为：3799
6,西游记,西游记总字数为：589819；不重复字数为：4479
7,红楼梦,红楼梦总字数为：713722；不重复字数为：4180
8,成唯识论,成唯识论总字数为：80418；不重复字数为：1326
9,周易,周易总字数为：18555；不重复字数为：1068
10,杜甫,杜甫总字数为：115390；不重复字数为：4219
11,封神演义,封神演义总字数为：424993；不重复字数为：5205
12,华严经,华严经总字数为：599763；不重复字数为：2317
13,金刚般若波罗蜜经,金刚般若波罗蜜经总字数为：5182；不重复字数为：430
14,金刚经说什么,金刚经说什么总字数为：181660；不重复字数为：2377
15,金光明经,金光明经总字数为：27748；不重复字数为：1422
16,老子,老子总字数为：5560；不重复字数为：807
17,乐府诗集,乐府诗集总字数为：382305；不重复字数为：5534
18,李商隐诗全集,李商隐诗全集总字数为：37910；不重复字数为：3226
19,妙法莲华经,妙法莲华经总字数为：72200；不重复字数为：1874
20,入菩萨行论,入菩萨行论总字数为：19042；不重复字数为：1601
21,诗经,诗经总字数为：60614；不重复字数为：3809
22,维摩诘所说经,维摩诘所说经总字数为：27112；不重复字数为：1144
23,无量寿经,无量寿经总字数为：17057；不重复字数为：1256
24,王维诗集,王维诗集总字数为：24415；不重复字数为：2551
25,药师琉璃光如来本愿功德经,药师琉璃光如来本愿功德经总字数为：5411；不重复字数为：854
26,元稹诗全集,元稹诗全集总字数为：71557；不重复字数为：4292
27,占察善恶业报经,占察善恶业报经总字数为：13097；不重复字数为：780
28,论语别裁,论语别裁总字数为：475675；不重复字数为：3558
29,圆觉经略说,圆觉经略说总字数为：156201；不重复字数为：2361
30,原本大学微言,原本大学微言总字数为：270649；不重复字数为：3543
31,如何修证佛法,如何修证佛法总字数为：209869；不重复字数为：2693
32,易经杂说,易经杂说总字数为：124597；不重复字数为：2284
33,药师经的济世观,药师经的济世观总字数为：131694；不重复字数为：2603
